Tract Number,Mean Age,Latitude,Longitude,GEOID
141102,35.9,34.128003,-118.1965205,1400000US06037183222
141201,35.6,34.1213215,-118.2009575,1400000US06037183300
141202,43.3,34.121669,-118.209149,1400000US06037183401
141303,38.4,34.125651,-118.216654,1400000US06037183402
141304,36.6,34.1153125,-118.2025785,1400000US06037183510
141305,42.7,34.110558,-118.201548,1400000US06037183520
141306,34.9,34.1141535,-118.194381,1400000US06037183610
1414,40.1,34.1147205,-118.189487,1400000US06037183620
1415,48.9,34.108515,-118.186489,1400000US06037183701
1416,47.5,34.1047815,-118.184373,1400000US06037183702
1417,46.9,34.1074675,-118.198023,1400000US06037183810
143101,48.1,34.104337,-118.197538,1400000US06037183820
143102,38.1,34.1047205,-118.211798,1400000US06037185100
1432,38.1,34.0951035,-118.218046,1400000US06037185202
143301,39.3,34.099608,-118.2317465,1400000US06037185203
143302,49.8,34.102575,-118.222414,1400000US06037185204
143401,39.7,34.091851,-118.222215,1400000US06037185310
143402,38.1,34.0883995,-118.2247575,1400000US06037185320
1435,40.7,34.1284265,-118.2296325,1400000US06037186100
143602,47.8,34.121613,-118.2186485,1400000US06037186201
143603,40.7,34.120163,-118.2240375,1400000US06037186202
143605,29.4,34.1149675,-118.215376,1400000US06037186203
143606,32.4,34.1220355,-118.2414825,1400000US06037186301
1437,45.5,34.1130175,-118.228915,1400000US06037186302
143801,39.8,34.118178,-118.2445025,1400000US06037186401
143802,39.4,34.111287,-118.2393275,1400000US06037186403
143901,45.2,34.1070285,-118.235004,1400000US06037186404
143902,42.5,34.1156225,-118.259303,1400000US06037187101
1810,44,34.100216,-118.2437135,1400000US06037187102
1813,42,34.101728,-118.2488185,1400000US06037187200
1814,36.3,34.101596,-118.257665,1400000US06037187300
1815,45.7,34.137637,-118.270105,1400000US06037188100
1816,22.7,34.112061,-118.2742745,1400000US06037188201
183101,38.2,34.116113,-118.2790375,1400000US06037188202
183103,33.9,34.1203105,-118.2636825,1400000US06037188300
183104,40.7,34.1047355,-118.2885045,1400000US06037189101
183220,37.6,34.113089,-118.2888405,1400000US06037189102
183221,38.4,34.103583,-118.296163,1400000US06037189201
183222,42.1,34.111557,-118.295845,1400000US06037189202
1833,39.9,34.112585,-118.306918,1400000US06037189300
183401,42.1,34.120601,-118.3214985,1400000US06037189400
183402,34,34.109247,-118.3218185,1400000US06037189500
183510,37.8,34.1127975,-118.330591,1400000US06037189600
183520,36.6,34.129416,-118.3366605,1400000US06037189701
183610,35.4,34.1137465,-118.3421255,1400000US06037189702
183620,39.7,34.0980545,-118.359927,1400000US06037189800
183701,34.3,34.0961785,-118.3490045,1400000US06037189902
183702,37.7,34.1026455,-118.34759,1400000US06037189903
183810,31.3,34.099793,-118.346538,1400000US06037189904
183820,33.5,34.100732,-118.3514465,1400000US06037189905
185101,33.6,34.0992315,-118.3421205,1400000US06037190100
185102,35,34.1034935,-118.330009,1400000US06037190201
185202,39.1,34.1033925,-118.335128,1400000US06037190202
185203,35.5,34.103533,-118.3178,1400000US06037190301
185204,46.7,34.1035725,-118.302783,1400000US06037190401
185310,33.9,34.103557,-118.307149,1400000US06037190402
185320,40.4,34.0999045,-118.3118915,1400000US06037190510
1861,39.7,34.0999325,-118.303805,1400000US06037190520
186201,42.3,34.098,-118.332675,1400000US06037190700
186202,40.7,34.0943795,-118.3244635,1400000US06037190801
186203,44.1,34.094359,-118.3299175,1400000US06037190802
186301,31.3,34.094431,-118.3124765,1400000US06037190901
186302,41.1,34.0944055,-118.319012,1400000US06037190902
186401,31.5,34.1016045,-118.320651,1400000US06037191000
186403,35.8,34.096507,-118.304869,1400000US06037191110
186404,30.5,34.0929955,-118.3048465,1400000US06037191120
187101,44.8,34.0985005,-118.296143,1400000US06037191201
187102,37.6,34.093198,-118.293925,1400000US06037191203
1872,32.8,34.0931035,-118.2982805,1400000US06037191204
1873,36.2,34.092753,-118.286057,1400000US06037191301
1881,37.3,34.0973365,-118.287285,1400000US06037191302
188201,37.2,34.0887575,-118.288114,1400000US06037191410
188202,38.4,34.085129,-118.2880925,1400000US06037191420
1883,41.7,34.0872185,-118.296096,1400000US06037191500
189101,36.3,34.0871475,-118.304811,1400000US06037191610
189102,34.6,34.0877515,-118.3035155,1400000US06037191620
189201,34.8,34.0871295,-118.315709,1400000US06037191710
189202,39.6,34.0887225,-118.3124455,1400000US06037191720
1893,45.1,34.088927,-118.327716,1400000US06037191810
1894,42.1,34.0852895,-118.3276995,1400000US06037191820
189501,42,34.0907325,-118.3386055,1400000US06037191901
189502,36.3,34.0836865,-118.338593,1400000US06037191902
1896,40.1,34.084605,-118.3484225,1400000US06037192001
189702,42.1,34.083696,-118.355049,1400000US06037192002
189703,42.7,34.079664,-118.3286955,1400000US06037192300
